Tên thuốc,Hoạt chất,Hàm lượng,Dạng bào chế,Nhóm thuốc,Hãng sản xuất,Nước sản xuất,Giá,Mô tả
Paracetamol 500mg,Paracetamol,500mg,Viên nén,Hạ sốt - Giảm đau,Dược Hậu Giang,Việt Nam,8000,Thuốc hạ sốt và giảm đau
Amoxicillin 500mg,Amoxicillin,500mg,Viên nén,Kháng sinh,Dược Hậu Giang,Việt Nam,15000,Kháng sinh phổ rộng nhóm penicillin
Ibuprofen 400mg,Ibuprofen,400mg,Viên nén,Hạ sốt - Giảm đau,Công ty Cổ phần Dược Hải Dương,Việt Nam,12000,Giảm đau và hạ sốt hiệu quả
Vitamin C 1000mg,Vitamin C,1000mg,Viên sủi,Vitamin và khoáng chất,Dược Hậu Giang,Việt Nam,5000,Bổ sung Vitamin C cho cơ thể
Aspirin 500mg,Aspirin,500mg,Viên nén,Hạ sốt - Giảm đau,Traphaco,Việt Nam,3000,Thuốc giảm đau dạng viên
Metformin 500mg,Metformin,500mg,Viên nén,Hạ sốt - Giảm đau,Dược Hậu Giang,Việt Nam,20000,Điều trị đái tháo đường type 2
Fluticasone 50mcg,Fluticasone,50mcg,Xịt mũi,Hạ sốt - Giảm đau,Traphaco,Việt Nam,45000,Xịt mũi trị viêm mũi dị ứng
Cetirizine 10mg,Cetirizine,10mg,Viên nén,Hạ sốt - Giảm đau,Dược Hậu Giang,Việt Nam,18000,Chống dị ứng an toàn
Clopidogrel 75mg,Clopidogrel,75mg,Viên nén,Hạ sốt - Giảm đau,Traphaco,Việt Nam,75000,Chống kết tập tiểu cầu
Omeprazole 20mg,Omeprazole,20mg,Viên nén,Hạ sốt - Giảm đau,Dược Hậu Giang,Việt Nam,25000,Ức chế bơm proton
